d_theta_deg,d_s2_z0,d_se_z0,d_s2_z1,d_se_z1,d_s2_z2,d_se_z2,d_s2_z3,d_se_z3
0.05,-4.73309,0.606119,-4.64762,0.490547,-3.90825,0.260765,-2.81826,0.268659
0.0531758,-4.57891,0.586317,-4.47813,0.437076,-3.48034,0.241676,-2.71066,0.256216
0.0565533,-4.45067,0.538385,-4.20159,0.411681,-3.24595,0.243424,-2.64034,0.239885
0.0601453,-4.36793,0.526693,-4.10318,0.393772,-3.07991,0.232539,-2.32049,0.204119
0.0639655,-4.31701,0.504188,-3.87022,0.397704,-2.99027,0.217452,-2.16306,0.211739
0.0680283,-3.50326,1.01173,-3.55763,0.395723,-2.85694,0.199514,-1.98116,0.216653
0.0723492,-3.48232,0.970755,-3.29368,0.38087,-2.70021,0.187136,-1.77937,0.215371
0.0769445,-3.34792,0.891145,-3.09454,0.365814,-2.61757,0.177414,-1.67434,0.203626
0.0818317,-3.10485,0.829781,-2.76635,0.306035,-2.42222,0.174296,-1.47111,0.203894
0.0870293,-2.85716,0.893673,-2.54477,0.278881,-2.17785,0.179893,-1.36945,0.190344
0.092557,-2.75351,0.825393,-2.33947,0.262665,-1.98678,0.16291,-1.23057,0.202461
0.0984359,-2.56541,0.785772,-2.09395,0.271039,-1.81826,0.151398,-1.07572,0.192056
0.104688,-2.51366,0.740851,-1.94388,0.236573,-1.661,0.154147,-0.953907,0.16941
0.111337,-2.46305,0.687502,-1.78021,0.221053,-1.47534,0.141165,-0.787097,0.160319
0.118409,-2.22191,0.608781,-1.59242,0.203391,-1.29569,0.124378,-0.689011,0.156369
0.12593,-1.71308,0.861674,-1.40559,0.183916,-1.15984,0.113225,-0.572367,0.173971
0.133929,-1.47075,0.766291,-1.30125,0.170102,-1.00042,0.11485,-0.470118,0.142507
0.142435,-1.38928,0.671105,-1.14792,0.167923,-0.843003,0.113525,-0.33276,0.13142
0.151482,-1.2789,0.578681,-1.05029,0.158977,-0.68813,0.099619,-0.27114,0.120338
0.161104,-1.05657,0.524335,-0.860211,0.164335,-0.601114,0.102262,-0.185486,0.126025
0.171336,-0.992098,0.469304,-0.682828,0.15546,-0.485775,0.113826,-0.0952276,0.122756
0.182219,-0.980328,0.424094,-0.565568,0.140269,-0.428012,0.107718,-0.0644908,0.105345
0.193792,-0.857887,0.374036,-0.318609,0.151605,-0.323757,0.103671,-0.0550338,0.089792
0.206101,-0.731989,0.321904,-0.256899,0.143269,-0.272844,0.0843748,-0.0103566,0.0832877
0.219192,-0.524162,0.308806,-0.162194,0.133722,-0.177996,0.0760377,0.0521274,0.0763041
0.233114,-0.473552,0.27099,-0.154538,0.119196,-0.112627,0.0721346,0.0979713,0.0734075
0.247921,-0.396121,0.237132,-0.102961,0.103975,-0.0725246,0.0568237,0.119654,0.0589667
0.263667,-0.327321,0.196205,-0.0181551,0.091292,-0.0115878,0.0507024,0.167996,0.0638956
0.280415,-0.280312,0.167081,0.0330945,0.086893,0.0146448,0.0428065,0.169218,0.0591395
0.298225,-0.210103,0.146238,0.0611238,0.0794662,0.0445837,0.0381791,0.185528,0.0547264
0.317167,-0.157834,0.114308,0.0971899,0.067921,0.0691392,0.0338773,0.189595,0.0487566
0.337312,-0.102137,0.0975196,0.135981,0.0583937,0.0816293,0.0309327,0.214846,0.0453736
0.358737,-0.0698922,0.0862807,0.177283,0.053502,0.111513,0.0286607,0.211722,0.0412027
0.381523,-0.0558097,0.0724389,0.191996,0.0462944,0.115428,0.0263069,0.223167,0.0349423
0.405755,-0.0170345,0.063957,0.210039,0.0436674,0.127557,0.0249897,0.230281,0.0303756
0.431527,0.0143674,0.0512455,0.223819,0.0421456,0.137903,0.0234217,0.229076,0.0264411
0.458936,0.0606174,0.0489927,0.236737,0.0373313,0.153946,0.0208687,0.214823,0.0227331
0.488086,0.0862967,0.0459101,0.239685,0.0338523,0.163873,0.0198549,0.209325,0.0194126
0.519087,0.109144,0.04758,0.241311,0.0324112,0.164314,0.018049,0.210692,0.018112
0.552057,0.161084,0.055142,0.235481,0.0311789,0.161099,0.0162504,0.205525,0.0164044
0.587121,0.205115,0.0600025,0.23257,0.0273866,0.161613,0.0146978,0.197345,0.0147536
0.624413,0.203118,0.058759,0.236571,0.0278771,0.161215,0.0132562,0.189979,0.0133899
0.664073,0.201724,0.0558131,0.232496,0.0269405,0.160139,0.0133112,0.180513,0.0116025
0.706252,0.211718,0.0490549,0.228262,0.0260218,0.155046,0.0114153,0.173767,0.0118208
0.75111,0.20724,0.0455883,0.222705,0.0251651,0.152806,0.0112345,0.168892,0.0116912
0.798818,0.197786,0.0397324,0.216239,0.0248018,0.145744,0.0107496,0.163105,0.0110482
0.849555,0.188066,0.0364064,0.21036,0.0219208,0.143578,0.0100129,0.15832,0.0106635
0.903515,0.182635,0.0349554,0.202678,0.0228882,0.140686,0.0100115,0.152916,0.0105829
0.960903,0.169914,0.0284229,0.194831,0.0219253,0.139022,0.00969428,0.150968,0.0103247
1.02194,0.175705,0.0251724,0.185364,0.0200484,0.13599,0.00958058,0.146206,0.00993792
1.08684,0.168693,0.0233082,0.178417,0.0194292,0.129877,0.00941233,0.141744,0.00958891
1.15588,0.167764,0.0200605,0.174397,0.0179363,0.127207,0.00900097,0.13981,0.00937675
1.22929,0.164213,0.0179961,0.168124,0.017329,0.123014,0.00854395,0.136197,0.00865359
1.30737,0.156249,0.015501,0.163408,0.0167492,0.121431,0.00882938,0.133357,0.00819263
1.39041,0.154202,0.0146135,0.159837,0.0161297,0.119437,0.00855857,0.128802,0.00816202
1.47872,0.149885,0.0146163,0.156566,0.0151334,0.11658,0.00837673,0.126969,0.00782446
1.57265,0.141035,0.0141023,0.15296,0.0147523,0.116013,0.00842585,0.123919,0.00753446
1.67253,0.139357,0.0141037,0.149578,0.014389,0.114881,0.00833209,0.121345,0.00756437
1.77877,0.132896,0.0126703,0.147317,0.0144736,0.113164,0.00850894,0.120162,0.00719485
1.89175,0.128328,0.0123937,0.143293,0.0135993,0.112414,0.00880385,0.116834,0.00709071
2.0119,0.126286,0.0120261,0.140484,0.0136236,0.110946,0.00877084,0.115862,0.00724349
2.13969,0.122938,0.0108585,0.139235,0.0134954,0.10995,0.00875078,0.116788,0.00734973
2.27559,0.122677,0.0108413,0.138426,0.0134308,0.111076,0.00894879,0.116084,0.0072638
2.42013,0.121565,0.0107092,0.140293,0.0136215,0.112535,0.00908344,0.116838,0.00765165
2.57385,0.121168,0.010351,0.141764,0.013728,0.113019,0.0089481,0.117673,0.00762253
2.73733,0.122186,0.0100617,0.141779,0.0138865,0.114453,0.00912417,0.118168,0.00765647
2.91119,0.120754,0.010158,0.143185,0.0142142,0.116096,0.00923968,0.118937,0.00782528
3.0961,0.121253,0.0103268,0.142822,0.0147521,0.118483,0.00952759,0.120066,0.00769395
3.29275,0.12136,0.0101715,0.143834,0.0148853,0.119126,0.00963602,0.119887,0.00761357
3.50189,0.121425,0.0103086,0.143675,0.0146521,0.119884,0.00995151,0.120019,0.00757401
3.72431,0.120468,0.00982548,0.142807,0.0146095,0.119992,0.010012,0.120196,0.00760631
3.96087,0.120066,0.00963164,0.142244,0.0143473,0.120269,0.0100367,0.12071,0.00770639
4.21244,0.119894,0.00970959,0.141267,0.0141836,0.120224,0.0100175,0.120884,0.00780998
4.48,0.119319,0.0100066,0.139896,0.0140212,0.12043,0.00999223,0.120573,0.00779585
4.76455,0.120054,0.0104018,0.138997,0.0137235,0.120719,0.00996758,0.119909,0.00776687
5.06718,0.120105,0.0105265,0.138029,0.0137412,0.121009,0.0101278,0.119539,0.00768832
5.38902,0.120068,0.0103372,0.136953,0.0135968,0.121063,0.0102296,0.119406,0.00760777
5.73131,0.120057,0.0102668,0.136631,0.0134972,0.120598,0.0102616,0.119109,0.00751357
6.09534,0.119844,0.0103592,0.136186,0.0135552,0.11987,0.0101785,0.11889,0.00744722
6.48249,0.119238,0.0104031,0.135405,0.0135489,0.118672,0.0101474,0.117804,0.00734489
6.89423,0.11929,0.0103302,0.134602,0.0133923,0.117479,0.00994601,0.11669,0.00726054
7.33212,0.118652,0.0102839,0.133283,0.0131352,0.115613,0.00958698,0.115508,0.0071939
7.79783,0.11821,0.0100683,0.131516,0.0129332,0.113815,0.00920538,0.11392,0.00704116
8.29311,0.117042,0.00977302,0.129835,0.0128258,0.111663,0.00880741,0.112112,0.00681806
8.81986,0.116033,0.00952669,0.127613,0.0126839,0.109368,0.00832851,0.109969,0.00657494
9.38006,0.114373,0.00922966,0.125005,0.0123997,0.106832,0.00786917,0.10753,0.00633391
9.97584,0.112434,0.00889938,0.122715,0.0121668,0.104246,0.0074173,0.105023,0.00615295
10.6095,0.11037,0.00852227,0.120264,0.0118136,0.101669,0.00692314,0.102367,0.00603965
11.2833,0.108571,0.00816275,0.117661,0.0113369,0.0990724,0.00650254,0.0994972,0.00594866
12,0.106376,0.00781382,0.11479,0.0108592,0.0961968,0.0061677,0.0966587,0.00590519
